Time Point,SATIRE-M,TSInet
-1005.0,1361.226,1361.1258681030274
-1015.0,1361.226,1361.1258681030274
-1025.0,1361.2579999999998,1361.1258681030274
-1035.0,1361.359,1361.1258681030274
-1045.0,1361.405,1361.125828869194
-105.0,1361.293,1361.1257251892089
-1055.0,1361.1070000000002,1361.1257251892089
-1065.0,1360.977,1361.1257251892089
-1075.0,1360.953,1361.1257251892089
-1085.0,1360.9370000000001,1361.1257251892089
-1095.0,1360.891,1361.1244056289381
-1105.0,1360.875,1361.1240655212403
-1115.0,1360.9370000000001,1361.1240655212403
-1125.0,1361.013,1361.1240655212403
-1135.0,1361.045,1361.1240655212403
-1145.0,1361.027,1361.2344232361174
-115.0,1360.951,1361.466426069478
-1155.0,1360.9229999999998,1361.4666295153559
-1165.0,1360.951,1361.4667621077947
-1175.0,1360.976,1361.4666670064514
-1185.0,1361.039,1361.4667082488763
-1195.0,1361.092,1361.5239226579556
-1205.0,1361.0810000000001,1361.5338132629395
-1215.0,1361.0810000000001,1361.5338132629395
-1225.0,1361.1229999999998,1361.5338132629395
-1235.0,1361.146,1361.5338132629395
-1245.0,1361.201,1361.3871425262535
-125.0,1361.158,1361.1403738098145
-1255.0,1361.01,1361.1403738098145
-1265.0,1360.88,1361.1403738098145
-1275.0,1360.7910000000002,1361.1403738098145
-1285.0,1360.7,1361.1403738098145
-1295.0,1360.6070000000002,1361.1260004908147
-1305.0,1360.5910000000001,1361.123994567871
-1315.0,1360.695,1361.123994567871
-1325.0,1360.783,1361.123994567871
-1335.0,1360.755,1361.123994567871
-1345.0,1360.723,1361.12287304236
-135.0,1360.7089999999998,1361.1211760253907
-1355.0,1360.72,1361.1211760253907
-1365.0,1360.753,1361.1211760253907
-1375.0,1360.829,1361.1211760253907
-1385.0,1360.9189999999999,1361.1211760253907
-1395.0,1360.977,1361.11312841179
-1405.0,1361.11,1361.1124110412597
-1415.0,1361.32,1361.1124110412597
-1425.0,1361.5179999999998,1361.1124110412597
-1435.0,1361.5810000000001,1361.1124110412597
-1445.0,1361.5410000000002,1361.1180221296336
-145.0,1361.479,1361.125185760498
-1455.0,1361.388,1361.125185760498
-1465.0,1361.251,1361.125185760498
-1475.0,1361.1129999999998,1361.125185760498
-1485.0,1361.056,1361.125185760498
-1495.0,1361.085,1361.121913059617
-15.0,1361.1329999999998,1361.1217760620118
-1505.0,1361.098,1361.1217760620118
-1515.0,1361.0420000000001,1361.1217760620118
-1525.0,1361.059,1361.1217760620118
-1535.0,1361.106,1361.1615246200186
-1545.0,1361.102,1361.2043236694335
-155.0,1361.1070000000002,1361.2043236694335
-1555.0,1361.1589999999999,1361.2043236694335
-1565.0,1361.283,1361.2043236694335
-1575.0,1361.39,1361.2040093323255
-1585.0,1361.29,1361.1206518859863
-1595.0,1361.118,1361.1206518859863
-1605.0,1361.0439999999999,1361.1206518859863
-1615.0,1361.07,1361.1206518859863
-1625.0,1361.09,1361.1206518859863
-1635.0,1361.0520000000001,1361.1274811002213
-1645.0,1361.0870000000002,1361.1337485961915
-165.0,1361.17,1361.1337485961915
-1655.0,1361.158,1361.1337485961915
-1665.0,1361.009,1361.1337485961915
-1675.0,1360.882,1361.133563216929
-1685.0,1360.7920000000001,1361.1292953796387
-1695.0,1360.68,1361.1292953796387
-1705.0,1360.645,1361.1292953796387
-1715.0,1360.755,1361.1292953796387
-1725.0,1360.915,1361.1292953796387
-1735.0,1361.088,1361.129788998923
-1745.0,1361.14,1361.1301731872559
-175.0,1361.0020000000002,1361.1301731872559
-1755.0,1360.842,1361.1301731872559
-1765.0,1360.766,1361.1301731872559
-1775.0,1360.717,1361.129749938388
-1785.0,1360.735,1361.125051361084
-1795.0,1360.8629999999998,1361.125051361084
-1805.0,1360.999,1361.125051361084
-1815.0,1361.0520000000001,1361.125051361084
-1825.0,1361.027,1361.125051361084
-1835.0,1361.007,1361.1212907261176
-1845.0,1361.0379999999998,1361.1188168945312
-185.0,1361.027,1361.1188168945312
-1855.0,1361.011,1361.1188168945312
-1865.0,1361.004,1361.1188168945312
-1875.0,1361.021,1361.1193460099396
-1885.0,1361.0610000000001,1361.123088470459
-1895.0,1361.121,1361.123088470459
-1905.0,1361.106,1361.123088470459
-1915.0,1360.9579999999999,1361.123088470459
-1925.0,1360.763,1361.123088470459
-1935.0,1360.649,1361.1269680517662
-1945.0,1360.605,1361.1291023864746
-195.0,1360.671,1361.1291023864746
-1955.0,1360.924,1361.1291023864746
-1965.0,1361.1270000000002,1361.1291023864746
-1975.0,1360.9920000000002,1361.127093309878
-1985.0,1360.8629999999998,1361.1169132385253
-1995.0,1360.832,1361.1169132385253
-2005.0,1360.774,1361.1169132385253
-2015.0,1360.652,1361.1169132385253
-2025.0,1360.536,1361.1169132385253
-2035.0,1360.493,1361.1219587680848
-2045.0,1360.6,1361.1242717895507
-205.0,1360.773,1361.1242717895507
-2055.0,1360.8570000000002,1361.1242717895507
-2065.0,1360.828,1361.1242717895507
-2075.0,1360.7979999999998,1361.1466222340455
-2085.0,1360.848,1361.2318106384278
-2095.0,1360.874,1361.2318106384278
-2105.0,1360.868,1361.2318106384278
-2115.0,1360.872,1361.2318106384278
-2125.0,1360.8829999999998,1361.2318106384278
-2135.0,1360.9520000000002,1361.148792487074
-2145.0,1360.993,1361.118081817627
-215.0,1360.816,1361.118081817627
-2155.0,1360.595,1361.118081817627
-2165.0,1360.5339999999999,1361.118081817627
-2175.0,1360.631,1361.121381747144
-2185.0,1360.855,1361.131423614502
-2195.0,1361.0520000000001,1361.131423614502
-2205.0,1361.004,1361.131423614502
-2215.0,1360.888,1361.131423614502
-2225.0,1360.866,1361.131423614502
-2235.0,1360.865,1361.1312548002143
-2245.0,1360.842,1361.131203704834
-225.0,1360.8570000000002,1361.131203704834
-2255.0,1360.899,1361.131203704834
-2265.0,1361.014,1361.131203704834
-2275.0,1361.1029999999998,1361.1324294435683
-2285.0,1361.007,1361.135453125
-2295.0,1360.851,1361.135453125
-2305.0,1360.6670000000001,1361.135453125
-2315.0,1360.559,1361.135453125
-2325.0,1360.5539999999999,1361.135453125
-2335.0,1360.665,1361.1329767527875
-2345.0,1360.806,1361.132391052246
-235.0,1360.92,1361.132391052246
-2355.0,1360.931,1361.132391052246
-2365.0,1360.8629999999998,1361.132391052246
-2375.0,1360.815,1361.1309994135859
-2385.0,1360.755,1361.1281641540527
-2395.0,1360.68,1361.1281641540527
-2405.0,1360.615,1361.1281641540527
-2415.0,1360.6070000000002,1361.1281641540527
-2425.0,1360.764,1361.1281641540527
-2435.0,1361.049,1361.1236697904656
-2445.0,1361.201,1361.1228751525878
-245.0,1361.1470000000002,1361.1228751525878
-2455.0,1361.149,1361.1228751525878
